,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H07,H09,H11,H12
34,5,5,13,6,5,5,9,4,5,5,4,5,4,5,33,17,5,5,15,5,5,5,4,4,5,,5,5,11,21,5,9,4,4,6,5,6,7,7,4,5,2,4,15,4,35,9,4,6,5,4,5,5,5,4,18,5,6,6,10,14,4,9,5,5,12,10,5,5,25,17,11,14,4,8,29,6,25,15,7,4,19,5,19,4,4,5,,4,6,4
35,5,5,13,6,5,5,9,4,5,5,4,5,4,5,33,17,5,5,15,4,5,5,4,4,5,,5,5,11,20,5,9,4,4,5,5,6,7,7,4,5,2,4,15,4,34,9,3,6,5,4,5,5,5,4,18,5,6,6,10,13,4,8,5,5,11,10,5,5,25,16,10,13,4,8,29,6,25,14,6,4,18,5,19,4,4,4,,4,6,4
36,5,5,13,6,5,5,9,4,5,5,4,5,4,5,33,17,5,5,15,4,5,5,4,4,5,,5,5,11,20,5,9,4,4,5,5,6,7,7,4,5,2,4,15,4,34,9,3,6,5,4,5,5,4,4,17,5,6,6,9,13,4,8,5,5,11,10,5,4,25,16,9,13,4,8,28,6,25,14,6,4,18,5,18,4,4,4,,4,5,4
37,5,5,12,6,5,5,9,4,5,5,4,5,4,5,33,17,5,5,13,4,5,5,4,4,5,,5,5,11,20,5,9,4,4,5,5,6,7,7,4,5,2,4,15,4,34,9,3,6,5,4,5,5,4,4,16,4,6,6,9,13,4,8,5,4,11,9,5,4,25,16,9,13,4,8,28,6,25,14,6,4,18,5,18,4,4,4,,4,5,4
38,5,5,12,6,5,5,8,4,5,5,4,4,4,5,33,17,5,5,13,4,5,5,4,4,5,,5,4,10,19,5,9,4,4,5,5,6,7,6,4,5,2,4,15,4,33,8,3,6,5,4,5,5,4,4,16,4,6,6,8,12,4,8,5,4,11,9,4,4,24,16,9,12,4,7,28,6,25,13,6,4,18,5,17,4,4,4,,4,5,4
39,5,5,11,6,5,5,8,4,5,5,4,4,4,5,32,16,5,5,13,4,5,5,4,4,5,,5,4,10,18,5,9,4,4,5,5,6,6,6,4,5,2,4,15,4,33,8,3,6,5,4,5,5,4,4,16,4,6,6,8,12,4,7,5,4,11,9,4,4,24,16,9,12,4,7,27,6,24,13,6,4,18,4,17,4,4,4,,4,5,3
40,5,5,11,6,5,5,8,4,5,5,4,4,4,5,32,16,5,5,12,4,5,5,4,4,5,,5,4,10,18,5,8,4,4,5,5,6,6,6,4,5,2,4,13,4,33,7,3,5,5,4,5,5,4,4,16,4,6,6,8,11,4,7,5,4,10,9,4,4,24,15,9,12,4,7,25,6,23,13,6,4,18,4,15,4,4,4,,4,5,3
41,5,5,10,6,5,5,8,4,5,5,4,4,4,5,32,16,5,5,12,4,5,5,4,4,5,,5,4,10,18,5,8,4,4,5,5,6,6,6,4,5,2,4,13,4,33,7,3,5,5,4,5,5,4,4,15,4,6,6,8,11,4,7,5,4,10,9,4,4,23,15,9,12,4,7,25,6,23,13,6,4,17,4,15,4,4,4,,4,5,3
42,5,5,10,6,5,5,8,4,5,5,4,4,4,5,32,16,5,5,12,4,5,5,4,4,5,,5,4,10,18,5,8,4,4,5,5,6,6,6,4,5,2,4,13,4,33,7,3,5,5,4,5,5,4,4,14,4,6,6,8,11,4,7,5,4,10,9,4,4,22,15,9,12,4,7,24,6,23,13,6,4,17,4,15,4,4,4,,4,5,3
43,5,5,10,6,5,4,8,4,5,5,4,4,4,5,32,16,5,5,12,4,5,5,4,4,5,,4,4,9,18,4,8,4,4,5,5,6,6,6,4,5,2,4,13,4,32,7,3,5,5,4,5,5,4,4,14,4,6,6,7,11,4,7,5,4,10,9,4,4,21,14,8,11,4,7,24,6,23,13,6,4,17,4,15,4,4,4,,4,5,3
44,5,4,10,6,5,4,8,4,4,5,4,4,4,5,31,16,4,5,12,4,5,5,4,4,5,,4,4,8,17,4,8,4,4,5,5,6,6,6,4,5,2,4,12,4,32,7,3,5,5,4,5,5,4,4,14,4,6,6,7,10,4,7,5,4,10,8,4,4,21,14,8,11,4,7,24,6,23,13,6,4,17,4,14,4,4,4,,4,5,3
45,4,4,9,6,5,4,8,4,4,4,4,4,4,5,31,16,4,5,11,4,5,4,4,4,5,,4,4,7,16,4,7,4,4,5,5,6,6,6,4,5,2,4,12,4,31,7,3,5,5,4,5,5,4,4,14,4,6,5,7,10,4,7,5,4,10,8,4,4,21,14,8,11,3,7,23,6,21,13,6,4,17,4,14,4,3,4,,4,5,3
46,4,4,9,6,5,4,8,4,4,4,4,4,4,5,31,15,4,5,11,4,5,4,3,4,5,,4,4,7,16,4,7,4,4,4,5,6,6,6,4,5,2,4,12,4,31,7,3,5,5,4,5,5,4,4,14,4,6,5,7,9,4,7,5,4,10,8,4,4,21,14,8,10,3,7,22,6,21,13,5,4,17,4,14,4,3,4,,4,5,3
47,4,4,9,6,5,4,8,4,4,4,4,4,4,5,30,15,4,5,11,4,5,4,3,4,5,,4,4,7,15,4,7,4,4,4,5,6,6,5,4,5,2,4,12,4,30,7,3,5,5,4,5,5,4,4,13,4,5,5,7,9,4,6,5,4,10,7,4,4,21,13,8,10,3,7,22,6,20,12,5,4,16,4,14,4,3,4,,4,5,3
48,4,4,9,5,5,4,7,4,4,4,4,4,4,4,30,15,4,4,11,4,4,4,3,4,5,,4,4,7,15,4,7,4,4,4,5,6,6,5,4,5,1,4,12,4,30,7,3,5,5,4,5,5,4,4,13,4,5,5,7,8,4,6,4,4,10,7,4,4,21,12,8,10,3,7,22,6,20,12,5,4,16,4,13,4,3,4,,4,5,3
49,4,4,9,5,5,4,7,4,4,4,3,4,4,4,29,15,4,4,11,4,4,4,3,4,5,,4,4,6,14,4,7,3,4,4,5,6,6,5,4,5,1,4,12,4,30,6,3,5,5,4,5,4,4,4,13,4,5,5,7,8,4,6,4,4,9,7,4,4,21,12,7,10,3,7,22,6,19,11,5,4,16,4,13,4,3,4,,4,5,3
50,4,4,8,5,5,4,7,4,4,4,3,4,4,4,29,14,4,4,11,4,4,4,3,4,4,,4,4,6,14,4,7,3,3,4,5,6,6,5,4,5,1,4,11,4,30,6,3,5,5,4,5,4,4,4,13,4,5,5,7,8,4,6,4,4,9,7,4,4,20,11,7,10,3,6,21,6,19,11,5,4,16,4,13,4,3,4,,4,5,3
51,4,4,8,5,5,4,7,4,4,4,3,4,4,4,29,14,4,4,10,4,4,4,3,4,4,,4,4,6,14,4,7,3,3,4,4,5,6,5,4,5,1,4,11,4,30,6,3,5,5,4,5,4,4,4,11,4,5,5,7,7,4,6,4,4,9,7,4,4,20,11,7,9,3,6,21,5,19,11,5,4,16,4,13,4,3,4,,4,5,3
52,4,4,8,5,5,4,7,3,4,4,3,4,4,4,29,13,4,4,10,4,4,4,3,4,4,,4,4,6,14,4,7,3,3,4,4,5,6,5,4,5,1,4,11,4,30,6,3,5,5,4,5,4,4,4,11,4,5,5,7,7,4,6,4,4,9,6,4,4,20,11,7,9,3,6,21,5,19,11,5,4,15,4,12,4,3,4,,4,4,3
53,4,4,8,5,5,4,7,3,4,4,3,4,4,4,29,13,4,4,10,4,4,4,3,4,4,,4,4,6,14,4,7,3,3,4,4,5,6,5,4,5,1,4,11,4,29,6,3,5,5,4,5,4,4,4,11,4,5,5,7,7,3,6,4,4,9,6,4,4,20,11,7,9,3,6,20,5,19,11,5,4,15,4,12,4,3,4,,4,4,3
54,4,4,8,5,5,4,7,3,4,4,3,4,4,4,28,12,4,4,10,4,4,4,3,4,4,,4,4,6,13,4,7,3,3,4,4,5,6,5,4,5,1,4,11,4,29,6,3,5,5,4,5,4,4,4,11,4,5,5,6,7,3,6,4,4,9,6,4,4,19,11,7,8,3,6,20,5,19,11,5,4,15,4,11,4,3,3,,4,4,3
55,4,4,7,5,4,4,7,3,4,4,3,4,4,4,28,11,4,4,10,4,4,4,3,4,4,,4,4,6,13,4,7,3,3,4,4,5,5,5,4,5,1,3,11,4,29,6,3,5,5,4,4,4,4,4,10,4,5,5,6,7,3,6,4,4,9,6,4,4,19,11,7,8,3,6,20,5,19,10,5,4,14,4,11,4,3,3,,3,4,3
56,4,4,7,5,4,4,7,3,4,4,3,4,4,4,28,11,4,4,10,4,4,4,3,4,4,,4,4,6,12,4,6,3,3,4,4,5,5,5,4,5,1,3,10,4,29,6,3,5,5,4,4,4,4,4,10,4,5,5,6,6,3,5,4,4,8,6,4,4,19,10,7,8,3,6,20,5,18,10,5,4,14,4,11,3,3,3,,3,4,3
57,4,4,7,5,4,4,7,3,4,4,3,4,4,4,28,11,4,4,10,4,4,4,3,3,4,,4,4,6,12,4,6,3,3,4,4,5,5,5,4,4,1,3,10,4,29,6,3,5,4,4,4,4,4,4,10,4,5,5,6,6,3,5,4,4,8,6,4,4,19,10,6,8,3,6,19,5,18,10,5,3,14,4,10,3,3,3,,3,4,3
58,4,4,7,5,4,4,7,3,4,4,3,4,4,4,28,11,4,4,10,4,4,4,3,3,4,,4,4,6,12,4,6,3,3,4,4,5,5,5,4,4,1,3,10,4,29,5,3,5,4,4,4,4,4,3,10,4,5,5,6,6,3,5,4,4,8,6,4,3,19,10,6,8,3,6,19,5,18,10,5,3,13,4,9,3,3,3,,3,4,3
59,4,4,7,5,4,4,7,3,4,4,3,4,4,4,28,11,4,4,10,4,4,4,3,3,4,,4,4,6,11,4,6,3,3,4,4,5,5,5,4,4,1,3,10,4,29,5,3,5,4,4,4,4,4,3,10,4,5,5,6,6,3,5,4,4,8,6,4,3,19,10,6,8,3,6,18,5,18,10,5,3,13,4,9,3,3,3,,3,4,3
60,4,4,7,5,4,4,6,3,4,4,3,4,4,4,28,10,4,4,10,4,4,4,3,3,4,,4,4,6,11,4,6,3,3,4,4,5,5,5,4,4,1,3,10,4,28,5,3,5,4,4,4,4,4,3,9,4,5,5,6,6,3,5,4,4,8,6,4,3,19,10,6,7,3,6,18,5,18,10,5,3,13,4,9,3,3,3,,3,4,3
61,4,4,7,5,4,4,6,3,4,4,3,4,4,4,27,10,4,4,10,4,4,4,3,3,4,,4,4,5,11,4,6,3,3,4,4,5,5,5,4,4,1,3,10,4,28,5,2,5,4,4,4,4,4,3,9,4,5,5,6,6,3,5,4,4,7,6,4,3,19,9,6,7,3,6,18,5,18,10,4,3,12,4,9,3,3,3,,3,4,3
62,4,4,7,5,4,4,6,3,4,4,3,4,4,4,27,10,4,4,10,4,4,4,3,3,4,,4,4,5,11,4,6,3,3,4,4,5,5,5,4,4,0,3,9,4,28,5,2,5,4,4,4,4,4,3,9,4,5,4,6,6,3,5,4,4,7,6,4,3,19,9,6,7,3,6,17,5,18,10,4,3,12,4,8,3,3,3,,3,4,3
63,4,4,7,5,4,4,6,3,4,4,3,3,4,4,27,10,4,4,10,4,4,4,3,3,4,,4,4,5,11,4,6,3,3,4,4,5,5,5,4,4,0,3,9,4,28,5,2,5,4,4,4,4,4,3,9,4,5,4,6,6,3,5,4,4,7,5,4,3,19,9,6,7,3,6,17,5,16,10,4,3,12,4,8,3,3,3,,3,4,3
64,4,4,7,5,4,4,6,3,4,4,3,3,4,4,27,10,4,4,10,4,4,4,3,3,4,,4,4,5,11,4,6,3,3,4,4,5,5,5,4,4,0,3,9,4,28,5,2,5,4,4,4,4,4,3,9,4,5,4,6,6,3,5,4,4,7,5,4,3,18,9,6,7,3,6,17,5,16,10,4,3,11,4,8,3,3,3,,3,4,3
65,4,4,7,5,4,4,6,3,4,4,3,3,4,4,27,9,4,4,9,4,4,4,3,3,4,,4,4,5,11,4,6,3,3,4,4,5,5,4,4,4,0,3,9,4,27,5,2,5,4,4,4,4,4,3,9,4,5,4,6,6,3,5,4,4,7,5,4,3,18,9,6,7,3,6,15,5,16,10,4,3,11,3,7,3,3,3,,3,4,3
66,4,4,7,5,4,4,6,3,4,4,3,3,4,4,26,9,4,4,9,4,4,4,3,3,4,,4,4,5,10,4,5,3,3,4,4,5,5,4,4,4,0,3,9,4,27,5,2,5,4,4,4,4,4,3,9,4,5,4,6,6,3,5,4,4,7,5,4,3,18,9,6,7,3,6,15,5,16,10,4,3,11,3,7,3,3,3,,3,4,3
67,4,4,6,5,4,4,6,3,4,4,3,3,3,4,26,9,3,4,9,4,4,4,3,3,4,,4,4,5,10,4,5,3,3,4,4,5,5,4,4,4,0,3,8,4,27,5,2,5,4,4,4,4,4,3,8,4,5,4,5,5,3,5,4,4,7,5,4,3,18,9,6,6,3,6,15,5,16,9,4,3,11,3,7,3,3,3,,3,4,3
68,4,4,6,5,4,4,6,3,4,4,3,3,3,4,26,9,3,4,9,4,4,4,3,3,4,,4,4,5,10,4,5,3,3,4,4,5,5,4,3,4,0,3,8,4,27,5,2,5,4,4,4,4,3,3,8,4,5,4,5,5,3,5,4,4,6,5,4,3,18,9,5,6,3,6,14,5,16,9,4,3,10,3,7,3,3,3,,3,4,3
69,4,4,6,5,4,4,6,3,4,4,3,3,3,4,25,9,3,4,9,4,4,4,3,3,4,,4,3,5,10,4,5,3,3,3,4,5,5,4,3,4,0,3,8,3,26,5,2,5,4,4,4,4,3,3,8,4,4,4,5,5,3,5,4,4,6,5,4,3,18,8,5,6,3,6,14,4,16,9,4,3,10,3,7,3,3,3,,3,4,3
70,4,4,6,5,4,4,6,3,4,4,3,3,3,4,25,9,3,4,9,4,4,4,3,3,4,,3,3,5,9,4,5,3,3,3,4,5,5,4,3,4,0,3,8,3,26,5,2,5,4,4,4,4,3,3,8,4,4,4,5,5,3,5,4,4,6,5,4,3,18,8,5,6,3,5,13,4,16,9,4,3,10,3,7,3,3,3,,3,4,3
71,4,4,6,5,4,3,6,3,4,4,3,3,3,4,24,9,3,4,9,4,4,4,3,3,4,,3,3,5,8,4,5,3,3,3,4,5,5,4,3,4,0,3,8,3,26,5,2,4,4,4,4,4,3,3,8,4,4,4,5,5,3,5,4,4,6,5,4,3,18,8,5,6,3,5,13,4,15,8,4,3,10,3,7,3,3,3,,3,4,3
